"","year","week","percent_d68","percent_rvev","percent_ari","proxy"
"1",2018,27,12,18,17.6,3801.6
"2",2018,28,11,18,17.3,3425.4
"3",2018,29,19.4,17.4,17.1,5772.276
"4",2018,30,11.7,18.7,16.9,3697.551
"5",2018,31,26.3,19.9,17.1,8949.627
"6",2018,32,25.1,21,17.5,9224.25
"7",2018,33,35.8,23.9,18.6,15914.532
"8",2018,34,30.7,27.2,20.6,17201.824
"9",2018,35,33.9,34.3,22.6,26278.602
"10",2018,36,47.4,35.4,24.4,40942.224
"11",2018,37,48.8,35.6,25.3,43953.184
"12",2018,38,34,35.1,26.2,31267.08
"13",2018,39,33,32.6,26.9,28939.02
"14",2018,40,25.2,31.2,27.9,21936.096
"15",2018,41,27.2,27.7,29.1,21925.104
"16",2018,42,17.6,26.5,31.5,14691.6
"17",2018,43,15.8,25.9,33.8,13831.636
"18",2018,44,4.8,24.4,35.8,4192.896
"19",2018,45,5.4,25.4,37.8,5184.648
"20",2018,46,10.6,23.2,39.1,9615.472
"21",2018,47,5.2,21.8,40.8,4625.088
"22",2020,29,0,8.36,15.6,0
"23",2020,30,4.1,10.1,15.2,629.432
"24",2020,31,0,9.96,14.9,0
"25",2020,32,3,12.2,14.9,545.34
"26",2020,33,3.8,11.9,15,678.3
"27",2020,34,3.8,13.1,15.1,751.678
"28",2020,35,0,14,15.1,0
"29",2020,36,9.8,14.5,15.6,2216.76
"30",2020,37,7.8,16.7,16.1,2097.186
"31",2020,38,4.9,18.2,16.9,1507.142
"32",2020,39,15.7,21.2,18.1,6024.404
"33",2020,40,7.3,20.1,18.1,2655.813
"34",2020,41,4.8,20.5,19.4,1908.96
"35",2020,42,1.6,21.3,19.3,657.744
"36",2020,43,6.4,19,19.8,2407.68
"37",2020,44,1.7,17.6,19.9,595.408
"38",2020,45,1.2,17.4,21.9,457.272
"39",2020,46,0,15.3,22.4,0
"40",2020,47,0,14.3,22.8,0
"41",2020,48,0,12.2,22.3,0
"42",2020,49,0,11.6,22.5,0
"43",2021,33,0,19,38.5,0
"44",2021,34,1.1,22.8,39.6,993.168
"45",2021,35,0.9,24.4,39.7,871.812
"46",2021,36,0,25.8,39.7,0
"47",2021,37,0,25.8,38.8,0
"48",2021,38,0.9,26.3,39.2,927.864
"49",2021,39,0,27.5,39.3,0
"50",2021,40,0,27.8,38.5,0
"51",2021,41,1.4,27.1,38,1441.72
"52",2021,42,2.3,26,38.2,2284.36
"53",2021,43,0,26.5,39,0
"54",2021,44,0,27.8,39.8,0
"55",2021,45,3.3,26.4,40.6,3537.072
"56",2021,46,3.5,25,40.9,3578.75
"57",2021,47,0,23.6,41.3,0
"58",2021,48,1.7,21,41.2,1470.84
"59",2021,49,2,19.4,40.9,1586.92
"60",2021,50,5,19.5,41.8,4075.5
"61",2021,51,11.1,17,46,8680.2
"62",2022,1,23.9,8.7,47.6,9897.468
"63",2022,10,0,19,31,0
"64",2022,11,0,18.6,31.7,0
"65",2022,12,0,18,31.7,0
"66",2022,13,2,16.2,32.8,1062.72
"67",2022,14,1.3,16.8,33.1,722.904
"68",2022,15,3.6,17.2,33.6,2080.512
"69",2022,16,0,16.3,34.6,0
"70",2022,17,2,17.8,34.1,1213.96
"71",2022,18,3.11,17.9,35.1,1953.9819
"72",2022,19,0,18.9,36.2,0
"73",2022,2,0,7.8,44.3,0
"74",2022,20,9.4,19,36.5,6518.9
"75",2022,21,10.8,18.1,36.8,7193.664
"76",2022,22,26.7,18.6,37.2,18474.264
"77",2022,23,22.3,17.5,35.8,13970.95
"78",2022,24,26.7,16.4,34.3,15019.284
"79",2022,25,34.1,16.7,33.6,19134.192
"80",2022,26,15.7,15.9,32.5,8112.975
"81",2022,27,13.3,14.2,32.1,6062.406
"82",2022,28,22.5,13,31.2,9126
"83",2022,29,30.2,11.7,32,11306.88
"84",2022,3,10.4,7.7,40.4,3235.232
"85",2022,30,51,14.1,31.9,22939.29
"86",2022,31,44.7,14.8,31.2,20640.672
"87",2022,32,55.8,15.8,31.4,27683.496
"88",2022,33,45.2,22.5,33.3,33866.1
"89",2022,34,26.4,27.7,35.1,25667.928
"90",2022,35,38.7,31.4,35.6,43260.408
"91",2022,4,3,7.6,35.1,800.28
"92",2022,5,2.3,10.1,32.1,745.683
"93",2022,6,0,13,30.3,0
"94",2022,7,0,16.6,29.9,0
"95",2022,8,0,18.5,30.4,0
"96",2022,9,0,17.9,30.2,0
