PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2017,40,1.26682,1.28278,3844,2486,X,4553,1072,875,12830,2205,1000168
National,X,2017,41,1.30662,1.33419,4120,2676,X,4453,1073,947,13269,2233,994535
National,X,2017,42,1.34866,1.41293,4409,2804,X,4993,1139,974,14319,2254,1013427
National,X,2017,43,1.51871,1.57884,5003,2921,X,5529,1324,1049,15826,2251,1002381
National,X,2017,44,1.74793,1.70723,5219,3289,X,6133,1365,1062,17068,2213,999750
National,X,2017,45,1.87047,1.86372,6108,3609,X,6625,1523,1129,18994,2278,1019146
National,X,2017,46,2.06674,2.09726,6805,4200,X,7478,1778,1354,21615,2281,1030631
National,X,2017,47,2.28188,2.34372,6945,3844,X,5876,1707,1445,19817,2264,845535
National,X,2017,48,2.28528,2.24895,7008,5235,X,7476,2206,1830,23755,2274,1056270
National,X,2017,49,2.5848,2.49852,7230,5050,X,8491,2338,1870,24979,2263,999753
National,X,2017,50,3.36711,3.20443,8297,6671,X,11277,2955,2333,31533,2255,984043
National,X,2017,51,4.71836,4.4305,10464,9836,X,14164,4578,3622,42664,2204,962961
National,X,2017,52,5.72036,5.46448,11301,11373,X,11509,5723,5080,44986,2122,823244
National,X,2018,1,5.77543,5.37416,9426,13370,X,11748,6868,5870,47282,2235,879802
National,X,2018,2,5.9083,5.54335,10082,15400,X,17403,7791,6246,56922,2251,1026852
National,X,2018,3,6.49095,6.34203,12004,15973,X,21873,7536,5551,62937,2277,992379
National,X,2018,4,7.17799,7.04897,13432,18349,X,30671,8925,6091,77468,2279,1098998
National,X,2018,5,7.52851,7.79783,14854,19095,X,37252,8929,5965,86095,2265,1104089
National,X,2018,6,7.38424,7.78892,15192,19505,X,38457,8621,5871,87646,2290,1125265
National,X,2018,7,6.46068,6.83583,13340,17163,X,31984,8070,5430,75987,2215,1111598
National,X,2018,8,4.95341,5.17354,10142,12428,X,20394,5808,4189,52961,2259,1023689
National,X,2018,9,3.67274,3.55184,7190,8445,X,13370,4081,2846,35932,2194,1011645
National,X,2018,10,3.2037,3.01348,6357,6483,X,10841,3139,2289,29109,2203,965961
National,X,2018,11,2.78869,2.73862,5590,5925,X,9479,2813,2121,25928,2188,946753
National,X,2018,12,2.50234,2.48438,5212,5406,X,8635,2563,1969,23785,2168,957380
National,X,2018,13,2.41065,2.36593,4722,4720,X,7216,2295,1743,20696,2131,874750
National,X,2018,14,2.07542,2.03306,4550,4452,X,6211,2158,1696,19067,2117,937849
National,X,2018,15,1.78234,1.8062,4148,3749,X,5508,1818,1449,16672,2076,923041
National,X,2018,16,1.61608,1.58958,3859,3216,X,5269,1432,1116,14892,2103,936850
National,X,2018,17,1.53992,1.54077,3725,3030,X,5343,1373,1101,14572,2079,945759
National,X,2018,18,1.53115,1.45326,3656,2600,X,4810,1215,992,13273,2005,913326
National,X,2018,19,1.29599,1.28242,3443,2205,X,4132,935,902,11617,1922,905868
National,X,2018,20,1.18904,1.2243,3359,2238,X,3766,905,799,11067,1966,903948
National,X,2018,21,1.24941,1.23385,3384,2082,X,3429,885,866,10646,1883,862825
National,X,2018,22,1.14134,1.22391,3222,1824,X,2982,846,734,9608,1789,785022
National,X,2018,23,0.988567,1.04866,2845,1836,X,2551,802,654,8688,1783,828488
National,X,2018,24,0.895433,0.979381,2375,1596,X,2242,699,658,7570,1738,772937
National,X,2018,25,0.892227,0.94819,2313,1554,X,2161,730,616,7374,1759,777692
